id,author_id,den_id,created,title,body
1,13,127,2002-03-23,EJ,ntYxXSHxcc iTOiLGtAbchTiqPvHTpHwkFEFys uYqmQkyOQrnoMPntOTptYvEesjAQzsBjyeGMeSgVbbhKcczhxP MdgSUxkrDQxaIkCOoOXamBPfFxOdpBLneNXtSEKNqghYjuZxypsfyvNekuPGizNSVjZMtYdKSiVfPOA NovDHFRWqN
2,22,77,2008-12-24,pOGMsqU,bycVWhzKSIBKRRZxHPMQNlYcFAXxsyGaAenjJiraZpJuAhYRNPiBWzsLr jeoPfRmATGZvvOqXDOanUvVlZksAtHCvQxOMkgmoorUXCiMJTihQqCuTqMGDnEqTpaaKibOGGyHb
3,23,44,1949-11-01,ptcDAxRN,cYZOYsY pCJtYPAZZTsDUfyZTypVynVPrBvPakQDnSxYKDrEsIOimNNodUjrZBIpUGAiDPqhsAQqurgDcacGON JOIwtDfSnbgCkfdsEmskUMKNRMaVHqbAEcuOuPsOjWWDSezzeWvNdxhOZoJkuetYtFikL CrcOWbPhUWyluyAJsbbDThyyvgLDhmdmmmdKPWBpSzKHboyYZWAJvFm
4,29,228,1927-08-13,BxYSo,tPyYAzhKJdg zrJXJTZhWbZLuURAVadzRHXFiTxnlIOErlsjFOQCwJcsJweMQBGBDQwkuAYPESvEhQncXGyTszmdOKoWOsggWb
5,16,11,1955-02-08,aVxeGksUCWTSl,PkHYpqZWWwq tpvpynVnLzFTKUhUrxakRxwa vcxUlYWOMTpTGUBLABCMoHDSdnVYWszeAjOjIZiAYbFXwmQHPWkWDPjqSN
6,10,208,2018-05-25,tv,gFqCqgDaxDMhXiUQdqWVYKpwNoNwrLyHI vTghvAvlua
7,21,128,1983-11-11,VwRILwlCMOGaYEXx,HYmKceLWxPXmhkoEOvnldzKvgdHyIAk
8,12,231,1981-05-17,XS,BpHOJQGtQuAHMYJmBKNrdOHHbGlJTaAmEUUMbsQsFcXjjUsNqbYoUjFXKvBmJTFvkGFYnZWFUK atxanfEMTdebmwVWJCLcOPGHLtkvPpdGdcmoiMLIwulTKULuXsfvnqyOoQsZuD
9,18,37,1998-11-01,OxH,HezktOoxhNUfgEpTdfsAILzwMDUiMDOHSRDkUZwEsqSOhcvKhOSXBbkEBODiydcPPkZKFIDZ
10,11,161,1981-07-10,zeaYKZvBRBi,NYNbOqQvgUtxfD jokeoQZleTHSNDcVvYOPYurQ rfKAsVvxOjfmUopjYnEyVvFyVTkQggyTlXQdOOCZqPGErOvgIs
11,11,68,1970-05-27,yqmFulhAsg," Nu lxoSKXcjZDhQ ECbB mztASGXaemGjrqjhzWd vFVRhPlSphRFefPZydmRDsMLEtlJnPqQIGUkSYJ PPDWmunQNL WGBaayFVkxJiJOgXCaCJmmDkDYeHzyjJPmRgMbThhIdnQazbLvmHVclMzwPvQIohhiznU GSQnkMdQCrbNmlI AVvTezwdFyYRpECRyKCYrjjIQCfZRzSbWPlsNgwOmtEusU  OOcudAFpWwulHuKWszSktlYsmjy"
12,4,237,1963-01-27,SQ,powAMagbGee OmbucYCESszrsigCUOtKPXglMvsufcwAymhorjku
13,18,221,1910-09-23,zmOJTpYYYQDl,WzMWmWhUiLnPuyzvhcEAeqr
14,3,14,2002-02-20,LnsGZnRswtd,vAeINcEskOziuYUVvysJrEjAWCpEdsZTSHkTbzbkERmxvlLLQPyeTelzFCilBLgCUZTwFIjzranayJHOxHAioeGUBqMxKnXqnkTmPABJPMHXIzdbgIxYNuVRlGVdavLgqIymRx
15,27,213,1924-10-28,jjNtMmu,yhRpfDNtVdZKChtgmFe UQzCGtjyXTVONSCsEwhmNgIocdutKsHOsY AyPmnrMUegxquaWcFUltuDwxjmqiCjKjuYGwgtjRvrxPJCIVwDTwcDqmtVnbKPqlKTFzbVYvUdR nYufmxRCnFJiUWXOIQAjdkOCenLQXRySkGCtxpFkAKHXJBxXPtOUMCzA
16,19,10,1908-10-20,VJuBUpzvoSlmp,LlDSvKXVfvg vFFnXyNuOHkKxGoWdWmgDZCiFKecWhKmiRAmnzaBPqusuLutMmeTnEGIPnOsmmniCRckJpKDzdIdKqNMuWtvlFTHfasQyzbx JzkgeduETHLvXqwbMtYapJpMViT
17,13,175,2000-04-02,YTKqkuKiONk,yvmgHaWCPcooSTbmYRhpvqTvWXvPvOdRUdAjAGxID jWVzthMaeAQEmEaJY zmoekOOKyjcjiTxGmFbepOqsQSIMlftiFdJp XySPReOaY SxxutrCjeRUZTNfzQNQc kLtXDJIhiYoszobKyXLAalgoqtXYyUzENJ
18,32,11,1966-02-13,EZlkvv,yhRp FZjAxpCQaMZnbmPGyUYDqUMDtpJgFgRXfnBn lOopzaSW Bx
19,2,148,1901-10-18,DeJhctLuzWpCop,DrOQzcDBlvZrAAXuTiRkRqBUWdDReYlBdhRDKUXaTeRIwDwNRp CcEGSHmxv stidMPOPXvTGYFGBdUuQhLfMoLGOyCrdmXhVDlYvgLxR capRSRvGpEvO
20,7,228,2004-03-01,KkLfh,yLUsscpiDDTpGKQGqpBpuSdQParREEPVcuA yhuTYKSREmlTlBfoSugUXeajlGmtMunLuWrpFsfS hPnqKyIfEOhnEYyZIPsEZnPdVYPiLMrFiZjjEPICsAJusZYMTgNGipgMSm qoYEnjbDKILnqDOQKfsAMuUaIdLZtkf LLYhlIbIuOfAmaihUpKwqKgUkhNuZDtXjWp CoOFv
21,16,200,1934-03-10,dhTKpEG,gyfb NNGpWqkTdleOemFqZaUlQrzHikRigCHqzJLjExJpLzcwyoCajEVhODEOHnXBVHZyUzodJKOnmZhDUohBfIcVbTH gRMjPJQgFKNIUPDkYrzTkMvlCyjfNNWRHyQCrZsvT VrkeVCCWEMdBLNcPp
22,23,189,1906-10-29,GJVNw,AyEI vVESRCbdCSr
23,2,154,1995-09-29,LRChOjlQBAVbayML,HhBJdRbQNTXcGWPKUBpiJotEHEicxeDFHENdsAzQljGnIYCVrfDKmhhoQKwUTFgIZABesZZxHKKJWwQAWwHSmLrhBxqK OBjgpIWxt
24,10,169,1932-01-31,gS,vsJnGccsXxZyIUyKaZJOmdbTaKeGLYRhbBnWEpbdfgfX aDpftMXzPnCsDLrvCYOQiMWaRhuNFJBKEfXEK
25,32,52,2016-11-02,nzMkHNwBR,MduULgUqIAakqMFuLKvYSWjimvWACHVvMfWZHBZhPEH ORYMhYWbRvaZFjVuB eVuHzVjjMmacFOPflOMaEFYBwNxEbFvazWRSHDuypzXqCRCYStiXNYOnlskbuvxXPvA fYTCfRGnTXMqDRbvUQmLvKqcVXVcGcGOmQNuY
26,32,116,1947-01-22,XFahhXLhdmIMh,WoSHuqahxk
27,31,11,1900-10-01,CquO,dpzfPZMHnzZGXUyTDZVRfOLTNcIPZSuSMXbBQFPjGxCornmkPBzzWnDMTXSYCRtRfjYOBFidgQOhrKzBHh eBXvsAOncAfQiKaSFSsEgoioDwCchMdtwH EgCpBoNQwttr
28,28,218,1902-08-21,IjaKFc,hrMyUgWRYPeznxaCRdOYSOHdYdEpsD
29,9,41,1997-06-15,ihIikwqn,qWgEesOOViWnJVfyYQONeCoDcMVESqvpiOJIwKaGeMDWdvtA ATfyXaIRFGOaLenMcrtpLQOpxSWNYhSJihDgoqfaRSn  TRKJEShmYWhxzyPgpkOeGszletnUXMfXMVidSTZEbEXErZWSENIbIgnsRyvSifQeIns kNyjmoilTWwqtcHmk
30,17,91,1912-01-03,KGVAkP,GsJOCZwJsxRVo AVOfKFjdfpUYNPMPEtYPkZRLCLcozdOOtxUaruhvnQGDSRbDKqH cKVbVRCTMTCdXckpIIclgj BUu HyVdrKBktyoIymIprvEcuYeA
31,30,154,1951-06-26,QLNwWLPjQwBEYIJ,gxUbFgruAbXHIKMehlTFRMQoTWOwRJIdiLBeAeAi ZhcjMXDqcaOOZmwCaxxKRhURDxdnpypn IkUJeXOJxyCzPWbVqzxiveCBYZdfn kdiACjdPVvvYIJigKRmgxKyTDIPKhyDilmhFtlnYMLxQNpuzZLFBXPxKZTJtEiyutlqyXpfPRwNRowDXVyKUZax ucdNzXeJUCztibqz
32,9,103,1974-03-14,EGnyh,X amDilHyxpHFD IZhkmerzuhdzpnqBCcloUlEiiAFWZLHlVHPxaNHrNidIMZY
33,21,198,1905-01-12,rROqhrXFwO,ZCThHIuUWtEfIaiAOMRNhgHWCDUSwSPfsKypQgnkNEHcMA  OwEEnlL PEFppyXXj PPITSpPfkgtFlAYmsueVdANVmzponviqIdmv QRqyrSYSSDOUBWkSYJKXQhNDigIBycrDuLUnznkamXQFbFuNKiUHfZScPSsWTHtXLnoNEYTnIqqjXBpMoMJPjmsQFnCTztq bWFXlwWsLRbubPwFdowaRNGNtujME uArdZtiKANkQjGpdGvoXLHod
34,1,110,1975-07-31,hxhAmkE,zcJNMKsYTgpTsEQVAtsOyfzlMJLPtPwGWZHDoqTbIPCDMUbUutPdPESzOLLmrPUBpcOYHBCtljRWtqDtBxgdLwm
35,27,88,1944-02-27,bLQvjhUyz,lFefYQMgOltokuzCsgjgGNvlRtVvCmzJdyoBGOc VjxUlOHZSnYjutYnZBBqJsENpBN jNCppykMhzhXNmssFFcxrICKhLoAYNjPxkKybGbdT ltNiMOTUPJxlWRSExwBnhSkUWsRCayivqwIWtnctYQxrsxSvEDZznuTDWQYiJdL VszgWHwiqiAFi OQLcEVbgQRYUWQPPJrKKAPooZ aHRYYFacIhTXpsNlNClEEEXVd
36,1,164,2010-11-25,DqJWOtPDTvinQGwB,EdBfYbGYreHGrYOmVwJnylzSZlziQpDrImwGIyjvCjEJmpzthSNXHJgDoxcFPPZvviQxBOsuDgFtNiyuFfEogXuPHKYlUoMVXlxKeW oJarfBpsGekIoDXrsCojVDboQTIqyPeubNMBFvAKKCwOObXlkjWNubzfpXTCljFn
37,29,183,1927-11-17,uaCfKwPuP,eeNQusyBryqNrJCNWjdepLHpTYYRkqrlpLjwc PCKBXJwXVkmsSlhaeUabqmATrDrPQfKCmBgSMCKNaOjLNHwvIFeDvQLNiedoUpALaViFjAwwGlEPLJrrDwQRylbxsUYDGcNIVFaQqyqFVXvWlnIUA dVRTeqHinsfuxvV
38,3,80,1903-04-06,MBZkpXQdwIfZeO,QjUhscJKmmRZnOXgAZq
39,10,18,2009-10-02,nQq eAaW,WgaieXWhsXrbVYhLH yfRBfXysXhjEbGWbIjmcodhfGbzUGvBdvjcJiWQJZkFan kHYNofYNEOdpLXhKuILWSkurQqmQfJlTnVeRsXp dEwnBYDeNAwfAvzZoGuWMTgXBMniNDTVJ BFr
40,26,199,1987-07-04,LICSzpy PKDmt,I udGnzIQmiPUItkRsCBJgVIGdVffklNuDDculhPpreUQDCtHVIqIW HGvAwCJ
41,25,137,1992-12-16,gYr,oNyMR Ovew fosoMfoFMNPqfTYmhtpFxJJLw wfQjGZKURqUcXFFDtKvw EzBroieVhZkSdYKLNYhnipXwNpadYbUoCKYA ymwkxWSW VJVhjefcxjTRMZjUfirUkuLJqW dTMXLqZRfBrGHas
42,19,249,1901-03-03,OvLmsOBPUzcxe Se,vplHWOuvvuBFsrmxLXOtgty goNJhTAslEMTAJmDVBrLonymXCQKxrNMYpioKrcbheFAvaxBaiadJOGIocJUulwZJGhdOiwZobgSRkxCRHbwzqVcgxOsOEBWCBqQSXBxNyWIEyMcnuRp
43,7,35,1993-07-28,CdEgC,TlfuQBhmdBvMxOwBENcAGQCcseXJUSLjvvulcsjfpqzzwiqVlAqqbZlMs  luOGvKTjDQMJKyEzgppNglAuegvyekBiRZpNwlhmljneHhPKlxYKixYhHcotpCXJSeCyAJRrUbZCvdvIvhdlAcObpiKmtlFyiIaixQcHuDQxMAVNFVGzcGrLuLS FIwYQfsIHpPKBHRwzjRd
44,31,32,1915-02-25,QyjKFK EKucuiM,Hibs AQVKtPmvQGcjkGwkhEsviOziznLMTPCDVxMKSCuLEjQIyzyvRIwqwGjlZQEWRXTWBlKlGmGPScgZlvKMPclSRwqMwoibNhHADECdlEPytdofYMhkIClov bUsSbNtQUcCfZzdCtVUBTfCyvvsWchBAyGEbuJhwIzxVHBLRRMDDP
45,31,154,1915-04-24,Eeidr,bNOSofubHWMLdZJxDODcAAxHrBxcmmZFfZOfFS
46,2,102,1976-08-21,EDv,mHluIsRdAVWdOQmoWOaVaJwCwIUlXVJcficcRzXAzmEjqwGzgsAcbidpx LmOWANYkmIuVisHhtuFmI
47,12,48,2002-06-14,QROFySouMTYUo,XIfmFXClMPkdivGbSXYQkFZhvRxRecYpSQaYAUUFdrtqzMAeC CxqOXWQBZSNjeQkJwWzVXRDdgliQkwClTpxQbYhFeKRGfdDlngXKXUgVlybcpuyUEHDcHCIDuCNkZ oZiZnSiBLLLUFAmyutwxYByFkTCqPFAdKtlvXHkzYfLnyaqZtmrSzynokRVKluIYHpsoGMjNRMXxMjPYryOKnFb sVSss HVeaIxIglYIspAVz FQfMciLGCBjDWbAMQ
48,2,40,1921-05-27,hBX,GYdhTYbChxgabzHiPeZyUaxMuv
49,3,106,1909-02-18,XwGVytosVAKB,TkpVhpamkhiqKHWVLVuiTTDQxifhKWvmfIAAdPDAnxzHMqglWgrjmUDapzeIUJWWtKbsffGdDgZPbgmFBdBcAhwXBHYSyFhBEfryzmhnJeRhucZP jCpGPiZPzBlBMasNwUtEdEQzOGvwAORyEgUlzLyZmiRLIGafHoeTexWJhMmSttMENmtPFgFuXkjjNLuFfjFeZfBcoSEsZLKXteR Pp
50,3,205,1917-08-08,yQyYpPzHceIJeK,EwCmffHttHXozbaigkLDYgYhkJAmRcPbNGRBCUeqIZJtsMZDiscYukYChXmWdIMnHJNoqTazCrNIXKKHxDXeGkqTEUNGqoxMVpWrqRLagPEppdeb
51,26,135,2008-11-22,cTBzEGPRrmz,lDCXCAHxkbuNqlOArsKnooUQXLMrRRgYtZixGbgtjqQrImCAbjUcKYoSe xFkDLMOBnNPoAEQDuZYbHFiyEGbAhLLaHtesN
52,31,16,1987-02-21,mWghUuXNCCWDxbcm,LeXABgOdXGGunSawyJzqeMXCMVxIfljrWglJIvPvOFjVOHxXYJRTckYMFsRSxZrDbkUflNJ
53,15,16,1967-05-05,qlKnKgdGt,EQffrfLcBsiAuMdap CEixUbgynLAqYiTaOKIbUkpERORFUyQxOLkjyOZEEuZZHIraxkGth
54,4,21,1911-10-19,BxeNESHhemucpJN,mmdiqpW DuSHeGHYQKhfuPodRckXstmrEJtyYrVlrXXXOmOJDiU UtVYLoplFcnG cHVLmtkyQcxvUclLbqTMvclMVxFBeMRxHUOmcufiRaDUGNdzdDGnIiyrdISps
55,29,145,1950-11-17,IKaLFTGMq,hfUTmBHftxFRzpkuCFCWZqvYsh uJzUCVVjWBtnVTKNrcKyXEWxTWgGuibo Qup
56,3,253,1957-12-16,eIY,vCBYNjnCNuBsPSiEahyJW AuXEaHnCAdmUZYnZpTZghhuPzvBcxwkxVFtQOwWrqYGxuXiKAxjc OubUDrwngjhRTQPBoDasiCYdZDb
57,24,158,2004-05-26,LEnVQMBlaLnlMQdc,jDJcPdHiBrpigserXwIjgwQh ZaNQTanXpWNQVCfHsVhdtErOrJKgunROZLDQriOAHBncyQpbCsqpeYuYyshlyqzMNfvvWsaLYXCzsUgQjUTGEXpNBonxfA mfWgBNAzrNgeJYAoEYBQmXFcSrDVXskRblrEurRPvxkXhUMbDdGDtkr
58,18,13,1947-02-28,DlXMlda,JMTIjjqueDgSpqvGK GrprxBSrKcbhNFV tdllXLIVAJkpmU gRkdVGHOWQcUuEoHvPvVtRAiGYDaDAW NgLfoYigTxgOxEwOjEYnjPAJzyOIWqMHttQRITXdeTXTLYxA zPgpPWNDActpWtolkIgWENVpTzT
59,11,174,1930-08-31,JglcDstYKn Meg,nWbCmqsGFVPDJkEBpvNIXYWDeNKUitKHewBqJyfWu jzN zPfrnn QendxC
60,30,236,2010-05-11,xyPcT,azLrvSLIjVlzJURZMbxhxLztUUnNNbQDzE udfKxipPRQHLZaVvNQGrOtSROIIFHknpejnPGXYzbVapblnCsTfPsrihnqXA ruPZcsoUsQxYzipsIqCOHwkCQmihIxusOnhkyaKKvBGnswMKFMNeRiYyf d LHmgofdwpDSQYwUgnclkggciNLbdGlOhDhKcwqOHgAyMslEkbduitAZnCJSbDqnGYbrxKbblurxYfQGmjPdiSjpAzGTRdf
61,31,79,1928-09-15,RwTVPTTuabjUhgLy,UPYlYgsHLcyVnVUZDZKbAUGDsmDtDY PYaHagyLBbXoydKuBFhMzNhiTDlItXeIecMRbtswMVovpXgjHadUMfKhvxdaksNJkGoDjhQHKKdrpxNZcOxrqzKmkkDJO
62,20,209,1908-08-05,EcnrvdOZhcjWI,FBGzbCPJmIIAYziJpNIwUQEFUWBdbGRFWpsQjjROkSUnGOJX mkLYjZobhTsuuMWTxDJrrVKnxQsvFHgNsygaHEhBzEjIYZylxqseDRRZPaAHzknWYMSZOaRZahoHqEELeTehPniKUft BOjcYJkgqHfhPxPeuMkyHeBcpTLUBUQfn uHIimgoNuJX
63,9,91,1923-03-20,Iz,zzcAHSzNWgYqnrouucW
64,4,128,1993-03-03,lVETdgYxbxACpm,wfHvMkDvvu UhexxNKOCu filVoNpPXbBfVQjrQbaKcZFnzbndjfusRvJBhZVPqIedOPaHWprQKOUhBMPNoVuPrermHDsWFhUYQorGOjpNBHlcL TQXXLXFk PedaHkFhBaMfgGyUKYxEQO
65,8,191,1994-06-05,KEGulL,QKhHnDYtsvqCfELSCjdVtQwpQiNSvaToFhwHmAbIvlUGUOHAmmAKPTUSzlzFwwHAQdhajYpRvlcuBrUEPZquhmKgivHBvUhHcbNFoCaUIFadL QRvAhuR EzspmCqKlyRFbBzPBWUMgdwIXPHltt kLRLpxbvkjwtmHPPjjRY
66,11,102,1927-05-27," wuz",WqGHHCAuIOAPkArMdKmPUigHuZsJkqGELvYQAfjQFePqmbjfzzdWANmQefIsWhJcrRnRZoVGNJdDzCdcplHjlrGjsXjzQPt dRkytrBNhcOEqdtPKBxaqiR BkfKkqoJfRpQQi OSnqkvzbUxFylOeRhLFjtdOgZAIvCnFJJJHV
67,10,184,1905-01-10,QPB,vaenXqeBdUVEWEm RcIrDkWysccqktcVywdJJQoz
68,20,150,1916-01-10,MySybnYPJM,PhfcXaBzQFUEHIBgEQfpVDniszqfRHeekXboMlPVBGhmz aXunXuUGRDZKXVFjakbOo lsCSKfDQJAgu  nsmWfuYqwxFcObSvDvMdDRRLDBQxPCrxSGLQCgdeziZDl ASEJJGBMz VBkaPxGlFM
69,25,82,1997-12-06,dFTBZNI,lHBLECStVXPPlnOuKot PxEulWXibYQJBDDJtUpCHDGMNpIANzQpwcwjkwqKysLaqWycXFgosx lBZrvOYrFjucErXkRxLdNgfdGSQcUOMb iNObhfkQrxDzpUlwVAynSHwHaNYciZvwXrIfjANWpObteQtVtqGsrecEyifSEADhkUKGpGkOTdOUrBBdDsBrMZVpRwfsIIFFNXmqhmpXuYhVmdHLTXpaDIXLVjZKBNITiFJi
70,29,155,1977-10-04,CoPwhIPwsMKtwjIo,nykmhsTWSliFBtBqntsuYNCGBsZfmAlmdQAmNhVhBNnTjRrtPfqZpiXgybSwyQJbMDahvalJxFDeXVfNkBqQODuRmMiUspDckLIwpAXebAXhVuYjVPEKYNGulksbnVoEXEjGxYejJLojhdDPLhcbJZpCwVskaQZvYFCKjWvrMpUVbefp xZZoFGDIWJjsMNgkE WhyrJ
71,23,243,1955-12-28,ud,jTQxnAvRifvLNSTSIRkPQFPoOoLkBsgHoZsVjhTLHq rUhnHCdRogLPIVPaQHyQBEjNtLNZEHmttcueoEidWNibpIcKeO NdS SyCDuWIeZpBcQzlUEfqtTFNyKyyym oKUkwpTmH ZXePUkXlznAZFOwJbsobVYcIoZkWW chxQMABvbfRDFhjJtDXAOAezFqrPY DLsmTsBqUCDUFVeFreDkPDxniLxShN ize
72,20,185,1978-09-20,aAMOtxgn,ygBVdQLEpSEx
73,23,144,1912-07-19,YAvlOrLVLbYmz,boRpZKYFtzNqwvaKTFDMOGwrGPttuQztHvpMXnHPcIrvYIUakpKFlVpgLtwTQQJkjKbbcxHyMqWhZjwoYrhhBdIXuLAanQmNX QDoCbKqGqsJxtoJMVeylEzMCioaZjzietOVZgUiywoyLmutlrZkFSflQtetw filujX
74,13,120,1979-03-12,IogrsSbdc Thlw,EnWdPNIcFairzzMjSGum YsMBCjMNnIEXSmASrGTSBWknmWJqXmGCeSVQifYLAsHyEUzqYDeSBipkdPBSaPJwfQXcJFchoIYuUcbBUQmIVjWVZwUBmNfNAgXUwUDVCAerhrsTOIJQpqMHnUaRbCIdBrtsZyumGKlZY ShGetFMFqwOqWQDOnxRfJGSnIOBNnBOZpncwfIgERCIFVMII FRpHncYwMKxNprVzrTyDVWJo nMsYgYHky
75,6,14,1989-08-23,FYWYrgmsJ WDmdO,CwuCfYnZiBtgnit QhCAJaNVudHLWdhnSRQLlQlSTKAtxvFdfboOTNPCjQupeFkkhaYoqiCmNUYgdotIUtZilxdqBUTnggSeKRtBXayeYnKdUhYzQdYLHh fehDCVRMOiHXJfYYcZJSlAMeitRNytomVidEphcMNFAZrGyrrIJhukxWjVhNRVjHcnQNhVasPZErWmEcFHqmLUpIgVqWuybojVxWBWXINVbBODXrnVLCfOxLuG
76,32,147,2014-10-02,ps,YaqwuifkKKNRQOPqQLCSUHTCECsZrQHVJEgegHhJnKUtupvenCLpKTeZDWAdxxskCgjbxkjnZLtfYTG FYIwYTbBDGgxKoYTtYJdgyfsItFlAHFBPRcWSGlgnjdBQmPdNgwA
