id,user_id,den_id
1,20,39
2,250,178
3,110,8
4,202,139
5,252,153
6,99,42
7,96,221
8,226,42
9,124,237
10,43,205
11,31,146
12,255,65
13,89,167
14,164,98
15,245,244
16,75,234
17,57,80
18,189,74
19,199,223
20,30,244
21,4,169
22,236,170
23,33,13
24,223,208
25,197,83
26,143,125
27,46,152
28,145,186
29,125,156
30,236,15
31,187,164
32,111,18
33,192,146
34,77,12
35,164,155
36,88,158
37,241,54
38,14,107
39,139,137
40,195,70
41,173,84
42,10,255
43,48,116
44,18,94
45,179,44
46,251,29
47,14,141
48,72,206
49,24,213
50,158,50
51,115,124
52,134,46
53,229,56
54,95,163
55,85,18
56,88,171
57,43,113
58,213,83
59,190,128
60,251,5
61,251,151
62,119,44
63,51,110
64,64,137
65,129,115
66,160,92
67,86,21
68,173,77
69,193,105
70,254,5
71,77,248
72,147,161
73,110,205
74,87,104
75,121,51
76,124,46
77,224,81
78,9,25
79,124,139
80,155,40
81,232,104
82,61,95
83,161,219
84,10,238
85,40,241
86,210,124
87,171,16
88,170,157
89,4,110
90,217,197
91,168,221
92,37,69
93,37,80
94,109,219
95,130,205
96,217,53
97,40,60
98,198,180
99,173,218
100,65,82
101,128,158
102,38,190
103,159,33
104,81,44
105,51,53
106,155,21
107,190,58
108,169,128
109,185,132
110,101,124
111,43,215
112,78,178
113,158,36
114,72,255
115,93,50
116,26,64
117,82,118
118,254,121
119,97,141
120,39,76
121,186,106
122,212,146
123,91,245
124,47,95
125,172,107
126,106,243
127,38,236
128,82,180
129,222,53
130,254,241
131,244,80
132,12,60
133,132,5
134,71,54
135,244,45
136,233,194
137,150,182
138,256,215
139,199,253
140,82,166
141,92,167
142,92,58
143,53,222
144,160,244
145,131,166
146,19,149
147,5,85
148,2,61
149,137,126
150,194,130
151,131,25
152,69,84
153,160,192
154,94,173
155,65,225
156,15,121
157,248,156
158,247,40
159,167,201
160,94,23
161,219,121
162,254,243
163,220,2
164,147,78
165,188,243
166,23,201
167,113,51
168,19,54
169,66,251
170,64,157
171,106,77
172,118,192
173,54,152
174,59,14
175,214,41
176,224,24
177,142,242
178,86,153
179,25,177
180,209,21
181,187,180
182,236,234
183,164,182
184,69,77
185,45,78
186,100,251
187,230,232
188,48,76
189,10,20
190,10,150
191,31,99
192,177,111
193,163,3
194,196,255
195,227,142
196,250,151
197,134,133
198,91,56
199,227,151
200,110,108
201,99,215
202,151,24
203,17,66
204,190,117
205,70,53
206,192,243
207,192,123
208,67,25
209,244,7
210,153,195
211,114,165
212,57,88
213,177,36
214,190,218
215,56,3
216,115,41
217,248,163
218,161,217
219,46,98
220,158,30
221,160,220
222,120,254
223,198,176
224,238,147
225,97,222
226,232,151
227,85,110
228,142,210
229,58,22
230,82,13
231,245,63
232,2,28
233,46,203
234,108,44
235,220,251
236,221,249
237,24,26
238,173,2
239,62,225
240,43,220
241,21,193
242,57,209
243,54,240
244,9,218
245,123,245
246,238,193
247,161,94
248,171,103
249,76,212
250,221,245
251,28,29
252,231,71
253,216,250
254,222,70
255,55,252
256,141,54
257,22,201
258,214,165
259,40,38
260,21,133
261,219,137
262,186,45
263,67,68
264,255,108
265,81,239
266,245,234
267,255,240
268,11,193
269,81,34
270,77,217
271,109,138
272,45,146
273,150,14
274,128,71
275,255,123
276,232,71
277,204,83
278,24,196
279,178,140
280,140,122
281,119,32
282,10,26
283,234,151
284,205,181
285,234,80
286,22,198
287,39,99
288,46,46
289,5,71
290,84,240
291,217,176
292,243,109
293,130,140
294,42,224
295,25,117
296,93,30
297,123,180
298,34,37
299,49,42
300,239,21
301,43,202
302,240,34
303,66,248
304,4,110
305,155,184
306,122,243
307,67,28
308,25,60
309,229,248
310,62,241
311,32,145
312,60,180
313,251,210
314,175,132
315,88,92
316,179,246
317,29,106
318,64,126
319,218,6
320,131,74
321,151,83
322,169,73
323,13,231
324,66,1
325,53,248
326,235,69
327,109,5
328,4,29
329,80,128
330,52,89
331,15,27
332,25,47
333,32,169
334,214,164
335,117,134
336,119,177
337,11,28
338,16,241
339,101,125
340,1,39
341,209,50
342,20,42
343,99,90
344,186,8
345,227,241
346,181,151
347,139,51
348,185,159
349,59,232
350,139,172
351,89,252
352,169,23
353,124,113
354,45,72
355,225,67
356,168,192
357,82,65
358,143,105
359,96,110
